ID,Company Name,Trading Name,Sector,Member Type,VIFC Location,Status,Country,Website,Notable Detail
1,Makara Capital Vietnam Holdings,Makara Capital,Investment & Capital Management,Certified Member,Da Nang,Active,Vietnam,,Investment and capital management firm
2,Bybit Technology Vietnam,Bybit,Cryptocurrency Exchange,Certified Member,Da Nang,Active,Singapore/Vietnam,bybit.com,Major global crypto exchange
3,9Pay,9Pay,Digital Payments,Certified Member,Da Nang,Active,Vietnam,9pay.vn,Digital payments platform
4,Da Nang Fintech Lab,Da Nang Fintech Lab,Fintech Incubation,Certified Member,Da Nang,Active,Vietnam,,Fintech development and incubation
5,Siglaw IFC,Siglaw IFC,Legal Services,Certified Member,Da Nang,Active,Vietnam,siglaw.vn,Legal services for IFC operations
6,"DTC Pay Vietnam JSC",DTCPay,Digital Payments,Certified Member,Da Nang,Active,Vietnam/Singapore,dtcpay.com,Digital payment processing
7,PayD,PayD,Payment Solutions,Certified Member,Da Nang,Active,Vietnam,,Payment solutions provider
8,Apex Vietnam IFC Services,Apex Group,Fund Administration,Certified Member,Da Nang,Active,Global,apexgroup.com,Part of global Apex Group — fund administration
9,Valverde Investment Partners Pte. Ltd.,Valverde,Investment Management,Certified Member,Da Nang,Active,Singapore,,Singapore-based investment management
10,Misa NovaFinX,Misa NovaFinX,Fintech Software,Certified Member,Da Nang,Active,Vietnam,,Financial technology and software
11,VRC Solutions,VRC Solutions,Technology,Certified Member,Da Nang,Active,Vietnam,,Technology solutions
12,Remi Tech,Remi Tech,Technology,Certified Member,Da Nang,Active,Vietnam,,Technology services
13,Joint Stock Commercial Bank for Foreign Trade of Vietnam,Vietcombank,Banking,Certified Member,Da Nang,Active,Vietnam,vietcombank.com.vn,"Largest state-owned bank; planning VIFC subsidiary"
14,Vietnam Joint Stock Commercial Bank for Industry and Trade,VietinBank,Banking,Certified Member,Da Nang,Active,Vietnam,vietinbank.vn,Studying subsidiary with MUFG (Japan)
15,Vikki Digital Bank,Vikki Bank,Digital Banking,Certified Member,Da Nang,Active,Vietnam,,Digital banking platform
16,Sovico Group,Sovico,Conglomerate (Aviation/Finance/Real Estate),Founding Member,Da Nang / Ho Chi Minh City,Active,Vietnam,sovico.com.vn,"HCMC Founding Member + Da Nang Letter of Interest; parent of HDBank and Vietjet Air"
17,Military Commercial Joint Stock Bank,MB Bank,Banking,Founding Member,Ho Chi Minh City,Active,Vietnam,mbbank.com.vn,One of Vietnam's largest banks
18,Tien Phong Commercial Joint Stock Bank,TPBank,Banking,Founding Member,Ho Chi Minh City,Active,Vietnam,tpb.vn,Digital-forward Vietnamese bank
19,Saigon - Hanoi Commercial Joint Stock Bank,SHB,Banking,Founding Member,Ho Chi Minh City,Active,Vietnam,shb.com.vn,Major commercial bank
20,SonKim Capital,SonKim Capital,Investment,Founding Member,Ho Chi Minh City,Active,Vietnam,,Vietnamese investment firm (real estate and finance)
21,VinaCapital Group,VinaCapital,Asset Management,Founding Member,Ho Chi Minh City,Active,Vietnam,vinacapital.com,"Vietnam's largest domestic asset manager; $4.5B AUM"
22,Nasdaq Inc.,Nasdaq,Stock Exchange & Technology,Founding Member,Ho Chi Minh City,Active,USA,nasdaq.com,Global stock exchange and technology provider
23,Nam A Commercial Joint Stock Bank,Nam A Bank,Banking,Strategic Member,Ho Chi Minh City,Active,Vietnam,namabank.com.vn,Secured shareholder approval for VIFC subsidiary
24,Ho Chi Minh City Finance and Investment State-Owned Company,HFIC,State Financial Services,Strategic Member,Ho Chi Minh City,Active,Vietnam,,HCMC's state financial arm
25,University of Economics Ho Chi Minh City,UEH,Academic / Human Capital,Strategic Member,Ho Chi Minh City,Active,Vietnam,ueh.edu.vn,Academic and human capital partner
26,Gemadept Group,Gemadept,Logistics & Ports,Strategic Member,Ho Chi Minh City,Active,Vietnam,gemadept.com.vn,Major Vietnamese logistics and port operator
27,TikTok,TikTok,Technology / Digital Economy,Strategic Member,Ho Chi Minh City,Active,Global,tiktok.com,Digital economy partner
28,Global On-Chain Economy Alliance,GOE Alliance,Blockchain / Web3,Strategic Member,Ho Chi Minh City,Active,Global,,Blockchain and Web3 consortium
29,Binance,Binance,Cryptocurrency Exchange,Investment Partner,Ho Chi Minh City,Active,Global,binance.com,"World's largest crypto exchange; MOU signed Nov 2025"
30,Circle,Circle,Stablecoin / Crypto,Investment Partner,Ho Chi Minh City,Active,USA,circle.com,USDC stablecoin issuer
31,Tether,Tether,Stablecoin / Crypto,MOU Partner,Da Nang / Ho Chi Minh City,Active,Global,tether.to,Largest stablecoin (USDT) issuer
32,Dragon Capital Group,Dragon Capital,Asset Management,Investment Partner,Ho Chi Minh City,Active,Vietnam,dragoncapital.com,"Leading Vietnam-focused investment firm; $7B AUM"
33,REE Corporation,REE,Infrastructure & Energy,Investment Partner,Ho Chi Minh City,Active,Vietnam,ree.com.vn,Vietnamese infrastructure and energy conglomerate
34,Cathay United Bank (Joint Venture),Cathay United JV,Banking,Investment Partner,Ho Chi Minh City,Active,Taiwan/Vietnam,,Joint venture with Taiwan's Cathay United Bank
35,Pension One Group,Pension One,Pension / Retirement,Investment Partner,Ho Chi Minh City,Active,Vietnam,,Pension and retirement fund infrastructure
36,Viettel Group,Viettel,Telecom / Technology,Investment Partner,Ho Chi Minh City,Active,Vietnam,viettel.com.vn,"Vietnam's largest telecom and tech group (state-owned)"
37,FPT Corporation,FPT,Technology / IT Services,Investment Partner,Da Nang / Ho Chi Minh City,Active,Vietnam,fpt.com.vn,"HCMC Investment Partner + Da Nang Letter of Interest; Vietnam's largest IT services company"
38,Ho Chi Minh City Development Joint Stock Commercial Bank,HDBank,Banking,Subsidiary Planning,Da Nang / Ho Chi Minh City,Active,Vietnam,hdbank.com.vn,"Shareholder vote Mar 27 – Apr 7 2026 for VIFC subsidiary"
39,Boeing,Boeing,Aviation / Aerospace,Aviation Finance Partner,Ho Chi Minh City,Active,USA,boeing.com,$6.1B Aviation Finance Hub partner
40,Airbus,Airbus,Aviation / Aerospace,Aviation Finance Partner,Ho Chi Minh City,Active,Europe,airbus.com,$6.1B Aviation Finance Hub partner
41,Pratt & Whitney,Pratt & Whitney,Aviation Engines,Aviation Finance Partner,Ho Chi Minh City,Active,USA,prattwhitney.com,Engine manufacturer — Aviation Finance Hub
42,CFM International,CFM International,Aviation Engines,Aviation Finance Partner,Ho Chi Minh City,Active,France/USA,cfmaeroengines.com,Engine manufacturer — Aviation Finance Hub
43,Rolls-Royce,Rolls-Royce,Aviation Engines,Aviation Finance Partner,Ho Chi Minh City,Active,UK,rolls-royce.com,Engine manufacturer — Aviation Finance Hub
44,IATA,IATA,Aviation Industry Association,Aviation Finance Partner,Ho Chi Minh City,Active,Global,iata.org,International Air Transport Association
45,Abu Dhabi Global Market,ADGM,International Financial Free Zone,MOU Partner,Da Nang,Active,UAE,adgm.com,International financial free zone in Abu Dhabi
46,Swiss Fintech Association,Swiss Fintech,Fintech Industry Association,MOU Partner,Da Nang,Active,Switzerland,,Swiss fintech industry association
47,Frankfurt Main Finance,Frankfurt Main Finance,Financial Center Promotion,MOU Partner,Da Nang,Active,Germany,frankfurt-main-finance.com,Frankfurt financial center promotion
48,SBI Holdings,SBI Holdings,Financial Services,Letter of Interest,Da Nang,Active,Japan,sbigroup.co.jp,Major Japanese financial group
49,Vietjet Air,Vietjet,Aviation,Aviation Finance Partner,Ho Chi Minh City,Active,Vietnam,vietjetair.com,Co-launched Asia-Pacific Aviation Finance Hub with VIFC
50,Sumsub,Sumsub,Identity Verification,MOU Partner,Ho Chi Minh City,Active,Global,sumsub.com,MOU with GOE Alliance at WEF Davos 2026 for compliant crypto payments
